Location,Marker,Clone,FCSDetectorName,inventoryNumber,Dilution
TCell,CD25,PC61,BV711-A,336,"""1:400"
TCell,CD27,LG.3A10,BUV737-A,94,"""1:400"
APC,PDL1,10F.9G2,BV650-A,344,"""1:250"
TCell,CD54,YN1/1.7.4,PE-Cy7-A,310,"""1:400"
TCell,IRF4,IRF4.3E4,PerCP-Cy5-5-A,338,"""1:100"
TCell,CD86,GL-1,FITC-A,266,"""1:400"
TCell,CTLA4,UC10-4B9,BV605-A,296,"""1:300"
TCell,CD45RB,RA3-6B2,BUV396-A,339,"""1:500"
TCell,Nur77,12.14,PE ( 561 )-A,341,"""1:100"
TCell,CD3e,145-2C11,BV510-A,343,"""1:300"
TCell,TBET,O4-46,BV786-A,342,"""1:100"
TCell,GranzymeB,QA16A02,Alexa Fluor 700-A,345,"""1:100"